text,sentiment,negative_reason
"b'RT @DemsForUSA: Failed Our Nurses, Paramedics &amp; Healthcare still has no nationally coordinated response to",0,discrimination
b'@devisridhar @georgeeaton @NewStatesman Please explain why we are all wearing face masks and why they are being https://t.co/uswaKYwcyv',1,
b'Get the truth out there about the Biden family business. #BidenCrimeFamiIy #VOTE #Trump2020 #BidenHarris2020 https://t.co/oWEI2Dgktr',1,
"b'RT @nlfisker: #Dems4USA 300 bipartisan bills passed the House &amp; sit in #MoscowMitch graveyard, including the #HeroesAct that would bring",0,crime
"b""#FakeNewsMedia won't report this. @msnbc @cnnpolitics @maddow @maddowblog #maddow @theroot @motherjones https://t.co/MdyuShPCSu""",1,
"b""RT @RWTrollPatrol: @GOP @realDonaldTrump Trump's not a politician he's an organized crime boss. (Google search- Donald Trump's Ties to",0,discrimination
"b'@DonaldJTrumpJr You can just name it ""TRUMP""\n#BidenHarris2020 #TrumpVirus'",1,
"b'RT @howardfineman: If #Trump loses, but refuses to concede or cooperate, would #MitchMcConnell step in, as #BarryGoldwater did nearly a",0,corruption
b'@MSNBC This is another reason to #VoteHimOut evil. We need to protect our doctors &amp; nurses from this https://t.co/IOoKk0HBx6',1,
"b'""Ilhan #retweeted the mention, saying, freaking rally, seriously this is getting old &amp; reeks of https://t.co/TN3PJfC9MU'",0,corruption
"b'RT @VABedfordHCS: Have a safe and healthy Halloween! Wear a (multilayer) mask, wash your hands, and stay six feet apart from people",1,
b'RT @BrexitBrit: Boris will announce a national #coronaviruslockdown\n\nMore than 70% of people are now more worried about the effect of,0,covid19
b'RT @RL9631: Volunteer to be a Election Poll Watcher. KAG \n\n#MAGA https://t.co/mEpnE6E8MS',1,
"b'@TMarinoWDBO @TTerryWFTV @WDBOtraffic Almost Election Day and still no word whether #JoeBiden will pack #SCOTUS. #TellUsJoe, tell us!!'",1,
"b""RT @CPRAction: We've heard some disturbing accounts of NYPD actions related to #Election2020 so we're asking you to email us information,",0,corruption
accelerating. &amp; rising when all #Americans killed by #TrumpVirus are https://t.co/157sYgXbcD',0,discrimination
b'RT @giveawa04254804: Get $500 to Spend at Bath &amp; Body Works!\n#Halloween \n#VOTE \n#BidenHarris2020 \n#Trump2020 \n#TheMandalorian \nBath &amp;,1,
b'RT @liarpoliticians: @BreesAnna We are conspiracy FACTS not theorists. There are globalist criminals like Boris pushing hard for the New,0,crime
"b""Oh my goodness. I've been saying we would hit 100k COVID-19 cases a day soon, but today was a HUGE jump toward https://t.co/iSSAuSj8vR""",1,
b'RT @jjgabay: The #BodyLanguage of #Trump and #Biden #thoughtandleaders global podcast - out just in time for your vote. Subscribe today,1,
"b""It's Make America Great Again\n\nNot Honk if you want America to .... again. Senile old man.\n\n#JoeBiden #MAGA""",1,
"b'Immunity fears as man, 25, catches Covid twice ending up in hospital second time, Mirror #coronavirus https://t.co/yI1Xm2sOxJ'",0,covid19
b'@RightWingWatch HE IS RIGHT! We are fighting the devil himself and his name is donald trump... #BIDENHARRIS2020!!!',0,crime
"b'@BipolarClubRx We are friends. I want him in a hospital, because he has severe COPD &amp; #COVID rates are https://t.co/hjXKjasriO'",0,covid19
b'RT @TheRainbowist: #Biden pledges support to #LGBTQ community https://t.co/Rti9PHfGpq',1,
"b""RT @KaJo503: @BaddCompani The young 'uns are the crest of the #BlueWave.\nhttps://t.co/TzUBwuctQ5""",1,
b'@SecPompeo @POTUS you just lost the Armenian vote!! #BidenHarris2020',0,discrimination
"b'Donald Trump Jr. said covid-19 deaths are at The #coronavirus killed more than 1,000 Americans https://t.co/UVzSLKpP7L'",0,discrimination
"b""Just wow, he's speaking nothing but truth.A much watch video if u are voting. Hopefully this will educate people https://t.co/Yx2UYXai3e""",1,
b'Wow! #Trump just said #Doctors responsible for high numbers of #Covid deaths as they get paid more if they record death as Covid',0,discrimination
b'@GOP @DNC @RepsForBiden @ProjectLincoln AntichristTrump-guilty of voluntary manslaughter!Of dereliction of duty https://t.co/inELiDbaLK',1,
b'#Minnesota #Wisconsin #Pennsylvania put your faith in @realDonaldTrump for security in your lives and to get https://t.co/jYjOn3RSSX',1,
easier to make the sad walk upstairs to the bedroom as the results pour in... #BidenHarris2020 https://t.co/5TGblm9o2t',0,covid19
b'@Bruce_LeVell @realDonaldTrump Or did that stop Jared Kushner from receiving $500m from Chinese and Saudi https://t.co/cla3Nu6m7F',1,
b'4 days left people. VOTE. VOTE. VOTE. #VoteBlueDownBallot #BidenHarris2020 #TrumpCollapse https://t.co/HrMaX96tLj',1,
"b'In this #Election, #Trump predictably threw aside any remnants of #decency and #decorum, and fired up https://t.co/JdUgkbbjYi'",0,crime
b'RT @MeidasCeejay: @FreeNestor1 @DonaldJTrumpJr #TrumpCrimeFamily for prison 2021! https://t.co/D8tS6om520',0,discrimination
b'#JackDorsey lost. #lol #HunterBidenEmails #Hunterbidenlaptop #HunterBiden #HunterBidenPEDO https://t.co/5tecvJPSIX',1,
b'RT @ACPCarnegie: Watching @BBCNewsnight makes me so cross - ok testing is important but ultra clean ventilation allows folk in same room,1,
b'RT @shotwithspirit: Horrific #GOP #corruption &amp; #treason is coming to light. Great work @aaronharris #GOPBetrayedAmerica,0,others
"b'""Senior officials on campaign are increasingly worried about insufficient Black and Latino voter https://t.co/neV3n1W50H'",0,corruption
b'This is who you are. These are your values. #Trump2020 \n\n#AZpol #utpol #idpol #Georgia2020 #Florida2020 https://t.co/mEk0zK42Ml',1,
"b'I feel like everyone needs to hear this going into next week. \n\nYour preferred candidate fucking sucks. \n\n""LeSSeR https://t.co/BbeAWziwbe'",1,
b'@ProjectLincoln Feeling sick that this SOB has it rigged in his favor again. I take another 4 years of this https://t.co/81TTp1KrFS',0,others
b'They will BOTH be in prison!! #TrumpCrimeFamily. #LockThemAllUp https://t.co/Lc7Z5QDjRM',0,covid19
b'RT @Cartoon4sale: David Rowe on #USElections2020 #COVID19 #Biden #Trump #USA #Satire #cartoon - political cartoon,1,
b'This is GREAT NEWS PEOPLE!!! \n\nHospitals and doctors are getting better at treating #covid patients and saving https://t.co/RHXSpvC2PA',1,
"b'RT @Marvelfan45: 4 days away. this is truly the fight of our lives. just like Cap said in Endgame, and we are gonna win.",0,covid19
b'So Happy !!!\nMy Son and his girlfriend voted today for there 1st time !! \nThey voted ...ALL BLUE\n#BidenHarris2020,1,
b'#Trump2020Landslide #KamalaHarris bailing out rioters! #American Citizens #MAGA2020LandslideVictory https://t.co/vKzXYqig8m',1,
"b'Comforting, nostalgic, manufactured heritage\nRetirement Disneyland Florida\n#Newsnight #Trump'",1,
"b""@BrettFavre @realDonaldTrump If your vote is for all of the things you list, you're voting for the wrong candidate. #BidenHarris2020""",0,corruption
b'RT @Steven24309452: @TrumpWarRoom If Trump doesnt do something quick to help the hurting Americans then he will loose the election,0,covid19
b'Having more than 5 coronavirus symptoms may predict long- #COVID case - Business Insider https://t.co/yMhuecEa1E',1,
b'Just finished watching the absolute horror show that is #TheTrumpShow on the @BBC\n\nWhatever the outcome next https://t.co/NmrzKhpMya',0,others
"b'Today I voted for the sanctity of life, I voted for #BidenHarris2020 and Dem all the way down ballot. https://t.co/CkEJ8s5Tdp'",1,
b'@OMellieo @FreeGirlNowNYC I retired in February to finally be able to travel &amp; now stuck with a worthless https://t.co/0luWxzsFiX',0,others
"b'#JoeBiden says he will work for all Americans. Even those he called ""not good people"" and ""chumps.""\n\n#MAGA2020 #Election2020'",0,covid19
b'@HanianEmpress Gr8ful for u telling ppl the brutal .. https://t.co/4LbLwd1DjJ',0,others
"b'@ProjectLincoln all while #trump calls #USA ""the greatest #democracy on Earth""'",1,
b'Vote for justice. Vote #BidenHarris2020 #Vote https://t.co/m2DnN1R3Yi',1,
b'RT @2RawTooReal: Video 1: Black people need to wake TF up &amp; stop falling for the Plantation; What has Barack Obama done for,0,discrimination
"b'RT @DanScavino: HAPPENING @realDonaldTrump in Green Bay, Wisconsin! https://t.co/DlVbnFai7q'",1,
"b""@realDonaldTrump You're right. You make history everyday. Every 2 1/2 days you kill more people than those that https://t.co/Cmn7dMq8S9""",0,others
"b'Busy onboarding new canvassers in Wisconsin for #Election2020, but @MomStroke wants me to come see her in her https://t.co/hcsqwQ4QPx'",1,
b'RT @gr888shopper: @realDonaldTrump #TrumpVirusDeathToll232K ++\n\n#JoeBiden will listen to #Science \n#ScienceMatters \n\n#Seniors4Biden,1,
b'Projecting much?\nDesperate measures from a desperate man/child.\n#TrumpIsALoser #TrumpIsCompromised #TrumpIsLosing https://t.co/r1tnDaJZZx',0,covid19
"b""RT @gigasmith67: 4 days. I'm an emotional wreck. Time to suck it up. #vote #donate #BidenHarris2020 Let's do this......for each other""",0,covid19
b'RT @InstaKnot: Biden calling trump supporters .. ugly folks !! You not gonna get our #votes #joe .... #trump #trump2020,0,crime
b'@IvankaTrump clearly your dad is not pro life. \n#TrumpCrimeFamily #TrumpVirus #TrumpKnewAndDidNothing https://t.co/eivRr7F2cC',1,
b'RT @AngryYoungMan96: Just gonna leave this here. #covid #BorisHasFailedTheNation #Lockdown2 #lockdown https://t.co/2WWZ1xIrql',0,corruption
"b'""Donald Trump ugly rant on Fox makes a strong case against his father"":\nhttps://t.co/ANju9oIPR4 #Covid #coronavirus #politics'",0,covid19
#KAG #MAGA contributor Miles Taylor admitted he lied to CNN https://t.co/OROd6YPIJr',0,crime
"b'RT @Aliciastarr001: NUNS for TRUMP God be for us, who can be against us?"" #PresidentTrump is protecting religious freedom for",1,
b'RT @FOTCangela: @Zac_Petkanas Vote out this violent trash!\n#BidenHarris2020',0,covid19
"b'@DonaldJTrumpJr Listen you disgusting weak limp dick Cocaine addict! 225,000 people are dead and you think https://t.co/AsxxiPDISE'",0,crime
b'@DonaldJTrumpJr What the hell?? Are you high buddy?? #TrumpCrimeFamily',0,covid19
b'@realDonaldTrump FRIENDLY REMINDER: Only 4 MORE DAYS until we get another 4 MORE YEARS of @realDonaldTrump https://t.co/0xk2EjlZ5x',1,
"b""RT @liarpoliticians: While terrorist @BorisJohnson wants to finish off the UK's economy for his terrorist #GreatReset agenda, ponder",0,covid19
"b'RT @pathdoc3: @jasonsknight @nachkontrolle @YogenKanthi @RayZuoMD to patients with longstanding #APS, IgG fractions isolated",0,discrimination
"let #COVID-19 prevent English Learners from reaching their full potential. Research shows, when English https://t.co/xF3NjgHX0p'",1,
b'RT @TsMadisonatl1: I already VOTED you government people and campaigns STOP CALLING AND TEXTING MY MUTHAFUKIN PHONE BEFORE,1,
"b'@realDonaldTrump 945 human beings in the USA under your watch DIED today from Covid, and not a single word of https://t.co/k45t9OhSFM'",0,covid19
b'Rally for Kamala! Houston showing up! #BidenHarris \n#Houston https://t.co/WrQavIVXSw',1,
"b""@krismeloche It's become a real ugly thing to watch our once decent, sort of, Opposition MP's morph into #GOP https://t.co/IqQZFKgygX""",0,corruption
"b'Looks like going to be WFH for quite some time! on the current projections, Canadians need to https://t.co/QqkqxQXQA3'",1,
"b'RT @meiermq: HBD .@IvankaTrump From Peru we wish you all the best and we continue to pray that fraud does not prevail, and for your",1,
"b'How gullible do you have to be to think Donald Trump @realDonaldTrump is not corrupt? Seriously, how gullible? https://t.co/pTASq2KkCR'",0,others
"b""It's #Friday evening\nThere are only 4 days until November 3rd.\nWe cannot waste a single one.\nDo whatever you can https://t.co/S7b0H9h0Yu""",0,crime
"b'What is your town hall about? I support Trump, am I allowed in?\n\nMEDIA is LIABLE for dividing the country w/HATE https://t.co/vspVt8Vjur'",1,
b'@kathygriffin My son adding some good juju to the ballot :) #pleasevote #BidenHarris2020 https://t.co/6ahbSmnO9R',1,
b'RT @RepGutierrez: The choice is clear! Trump has had painted hard working immigrants as Americas enemy! \n\nJoe Biden values immigrants!,1,
b'RT @itschriscause: The @polkdec brought your democratic leaders together today to rally to get out the vote! Thanks to @nikkifried,1,
"b""The MN Governor failed attempt to censor and restricted Trump's peaceful Protest tonight. \nIt only proves the https://t.co/4APoXfMlpN""",0,corruption
"b""It Certainly Won't Be Enough To Stop The #BlueWave \n#BidenHarrisToSaveAmerica https://t.co/n1Rwfaun1q""",1,
b'My prediction and a nice REBUKE TO @realDonaldTrump the blue wave is coming and wash him and his team away https://t.co/09yLF1re4c',1,
"b'RT @donwinslow: Dear Georgia Republicans,\n\nWhy are so many people in Georgia getting sick or dying if #coronavirus is a HOAX?'",0,discrimination
b'@atensnut Dusting off my rain boots so I can splash in the puddles of Liberal Tears!!!#MAGA',1,
b'@henrysebby @BostonGlobe Just like #Gays #Blacks #Jews. Endorsing #Trump is ignoring the #Democrat hate and https://t.co/pQkPFPXaJm',0,crime
"b'RT @MarkoSilberhand: @realDonaldTrump America, #vote, \nvote this MADMAN and the #TrumpCrimeFamily out !\n\n#VoteHimOut",1,
b'RT @USAirForce92: Donald Trump gets more money when people die...\n\nbecause he and his criminal accomplices are stealing coronavirus,0,crime
"b""For almost 4 years I've said I can't wait until Nov 3, 2020. Now it is so close and I am so scared of the https://t.co/KKmCWzNFAO""",0,crime
b'@DonCheadle @kibblesmith @glennbeck Do #MAGA hat followers of Donald Trump display cult-like devotion? Yes. https://t.co/OO71PETILp',1,
b'@SkyNews @RaynerSkyNews People going to stand another national lockdown - once the lockdowns over people https://t.co/loKfUSfn41',1,
"b'RT @BetteMidler: $150,000 Wardrobe for Palin May Alter Tailor-Made Image https://t.co/5yWBMgiiIF OH, YEAH, @IngrahamAngle, remember this",1,
b'They may have Trump 32 flavors of corruption ice cream? Who knows how many flavors they may discover. Maybe one a https://t.co/r1IxSbg0kJ',1,
b'RT @michaeljohns: The accomplishments of @realDonaldTrump ultimately are too significant for American voters to ignore.\n\n#Trump is the,1,
b'Well I guess it was just a matter of time. Just got an email from my leasing office saying someone in my building https://t.co/ONRK3ksxGj',1,
b'Be safe---and classy this weekend Lubbock! #COVID19 #COVID https://t.co/h8U8u975MI',1,
"b""Don't let your example be that you are a homophobic, xenophobic, racist bigot. Its NOT a good look. #Vote #Biden2020 https://t.co/4RT0eOWLs3""",0,corruption
b'RT @axidentaliberal: @joncoopertweets Only 4 days\n\n#BidenHarris2020',1,
"b""@blakehounshell @carlquintanilla didn't hitler do the same thing ? #GOP https://t.co/vVRQK2DDOe""",1,
b'RT @beautyheroes: Beautifully articulated. 2020 should not be a year we forget. Watch + share #Vote2020 #Democracy',1,
b'RT @_groyper: Just 4 Days until #Election2020\n\n#JoeAndTheHoe #4Days\n#CrookedJoe #SleepyJoe,1,
"b'Love this photo ... Wearing a coat reading ""I Really Care So I Vote"" written on the back, Tonya Swain votes in https://t.co/unx0dAM4bI'",1,
b'RT @FloridaRise: @stevenmnuchin1 @SpeakerPelosi @senatemajldr @GOP You have no intentions of doing anything. Based on results if it was,1,
b'RT @AdiGTV: Parents and students are protesting outside Denver Public Schools headquarters.\n\nParents tell me they want their kids back,0,crime
b'@ericswalwell @JoeBiden @taylorswift13 Trump #MAGA \nMake America Great Again\n\nBiden #MCHGA\nMake China Great https://t.co/cPjqsttNLW',1,
"b""@LBC He can plan what he likes. He can't enforce it. #Muslims go free anyway, also #illegalmigrants #BLM https://t.co/dDxdrOZNgT""",1,
b'RT @margery: The mental health of the Nation can not withstand any more of Trump and his disgusting behavior!\n#TrumpCrimeFamily',0,crime
b'RT @MattMor18960633: Fresh out of Facebook jail . . . AGAIN!! \n\n#freshoutoffacebookjail #trumplandslide2020 #maga https://t.co/0Mc0InD79l',1,
b'RT @NavreQuixotic: @mmpadellan @ReallyAmerican1 @MSNBC I am looking forward to our future Vice President @SenKamalaHarris \nGiven she is a,1,
b'RT @DovahGol: I do not care If I lose Democrat or Liberal who just being fake friends who does not like me well guess what I am proud to,1,
b'RT @lisagoldbergpr: DROP OFF YOUR BALLOT IN PERSON - ITS TOO LATE TO MAIL IT! Find your polling place / drop off at,0,discrimination
"b'November 3rd is the last day to vote! Use your vote, use your voice to get Trump out of office. This election is https://t.co/LTmQYmfIDD'",1,
b'RT @KrauseForIowa: #CovidKim -- #AWOL during the #Covid19 War! Where is she? Does she have a #Bonespur? Was she captured at a,0,crime
"b'@realDonaldTrump The Daily 202: Five Reagan White House lawyers endorse Biden, saying Trump has https://t.co/dGNCwX5VRa'",1,
"b'RT @birbigs: In case interested in crying, give this video a try. #VoteEarly #BidenHarris2020 \n\n https://t.co/N53ycoWjeB'",0,others
b'@kirstiealley When did your brain injury occur? I am sorry. #BidenHarris2020',0,covid19
"b'#Texas #CoronavirusFrance\n\nCOVID1-19 cases: 899,190\nCOVID-19 deaths: 17,809\n10/29/20 https://t.co/v3uI8fwwpz'",1,
"b'Did you smile today, despite #COVID? At https://t.co/qwZUAS9dsz, show that joy that came despite hardship. Sign https://t.co/54JXEIAOMA'",0,discrimination
b'RT @OntrackUKIE: Cybersecurity attacks have surged during the #coronavirus pandemic. Read our highlights of the new advisories released,0,covid19
"b""What? Is this evil corruption on the DEMOCRATS' part or what?! Joe Biden, Nancy Pelosi and the Democrats are https://t.co/VmVBQlsIH0""",0,discrimination
b'#Resist the Great Reset like your life depends on it. Because it does.',1,
b'RT @Kyle4Congress: I will work with @realDonaldTrump to pass a tremendous stimulus package! #NY19 #MAGA\nhttps://t.co/R4vCdlNFWs',1,
b'@tamdaisy1262 @AOC Sign me up for the disgracefulness then. #BidenHarris2020 #HarrisCortez2024',1,
"b'RT @trendrewards1: #Tsunami strikes Izmir , #Turkey after Mag 7 #AegeanSea Earthquake.\nhttps://t.co/WgIjdvpmES via @drapr007",0,crime
b'@realDonaldTrump Stop with the Biden fear mongering. All you do is invent bullshit and you have no plan. Joe has a plan! #BidenHarris2020',0,others
"b'RT @julieblaha: Are case counts rising because #COVID-19 is spreading, or just because more testing? Fair question- my",1,
b'.@realdonaldtrump Berlin knows trash when they see it!\n\n#TrumpCollapse #TrumpCrimeFamily https://t.co/RGzZP0Tzeg',1,
"b'Er, twitter, you might need to sack your algo team this morning, they let an organic one get https://t.co/2SDyXcZz49'",1,
b'RT @allisonl: My latest paper from @ucl @IOE_London @uclknowledgelab study of the move to online teaching during the #Covid-19 crisis for,0,crime
b'@semperdiced @JoeBiden @KamalaHarris Will my Old Navy Wayfarer knockoffs do? https://t.co/ws5oIEA1t3',1,
accelerating. &amp; rising when all #Americans killed by #TrumpVirus are https://t.co/x8oefHM6jS',0,discrimination
b'RT @iche_me: for @JoeBiden &amp; @KamalaHarris because they have a plan for our future and our future.,1,
"b'RT @Anthony41806183: #Trump #TrumpIsLosing A sexual maniac who said if he could he would have dated his own daughter, has this man no",0,others
"b'@SenTedCruz You mean like how all GOPers refused to confirm hundreds of judges, then your only https://t.co/gYDNSQeDvW'",0,covid19
b'@wolfblitzer @clean_not_sober @realDonaldTrump Wolf is funny. He states this fact in such a professional https://t.co/s15zTxkv9Q',1,
b'Interesting theory. Joe and Hunter Biden take money from China and they attempt to hide it. Virus comes from https://t.co/K4UM1cRgdK',0,discrimination
"b""@realDonaldTrump Because of #PutinsPuppet (YOU) I'm already a prisoner in my own country. #VOTE https://t.co/woZgmxjzJy""",0,crime
"b""RT @AndrewV50196572: Covid deaths in Tennessee have hit 78 already today &amp; 2608 new cases\n\nThese aren't my numbers. They are published",1,
b'Trump Rallies Leave Trail of COVID Spikes in Their Wake..#Trump..#GOP..#Covid19 https://t.co/aWvOenDld8',0,covid19
b'RT @LeslieCannold: This is the most helpful scientific explanation seen yet of how #COVID19 risk can be reduced at small gatherings,1,
"b'RT @kuantancurls: @IndependentSage #DominicCummings broke the social contract with English people. \n\nTragically, England now is seeing a",0,crime
b'RT @JohsieC: .@realDonaldTrump @Scavino45 @TrumpWarRoom @trump_venezuela @Tracie0313 Vote #Trump Vote #JohsieCruz GA4CD fight,0,others
"b'Each of these was a #VoteAgainstTrump.\n\n2016, #BidenHarris2020 https://t.co/QaXF4NFq1o'",1,
b'@Bill19300155 #MoscowMitch must go.',1,
b'#Trump is keeping his coat and gloves on but is not wearing a hat. Starts his speech by complaining about how bad https://t.co/NGaJMl9HvZ',0,discrimination
b'so chicago is preparing for election night riots ? ? how ? why ? wait all u looser asses voted for Biden so https://t.co/kcLgK6YYIi',0,others
"b""@KamalaHarris This election is about fighting to give future generations of women more options so that they don't https://t.co/MUCPqSsPgU""",0,covid19
b'We must keep our heads and accept #Covid is here for the long term https://t.co/zU5lWJpKFK via @financialtimes',1,
b'So that lying liar who constantly lies called #Trump has been claiming doctors get paid if ppl die https://t.co/RjgzmHhzZb',0,covid19
b'Vote @JoeBiden and @KamalaHarris on Tuesday. End this nightmare. #BidenHarrisLandslide2020 https://t.co/ZMxI4uISdS',1,
"b'RT @Millennials4Her: Got any loose change laying around, a dollar in your pocket from the laundry, maybe a casual $2,800?\n\nIf you do,",0,discrimination
"b'RT @SkyNews: #Coronavirus: Large crowds of young people were seen on the streets of Nottingham last night, enjoying themselves before new",1,
b'Checkout our #kindnesschallenge #VOTE #BidenHarris2020 https://t.co/UjE6zIYfw3',1,
"b'Every buck helps, kick trump to the curb. #BidenHarris2020 https://t.co/gf7K9yvCuY'",1,
"b"".@BretBaier your other guest the Trumpian @wjmcgurn just lied that pollsters told him there's a surge of young https://t.co/aghNesX6qT""",0,corruption
b'@AngrierWHStaff Tha #MAGA is strong with that one',1,
"b'Reason #1,000 why #Biden deserves to win?\n\nWhen confronted with vile protesters outside his rally, he promised to https://t.co/6cWoJwWxKQ'",0,crime
"b'@tomellis17 I did, for @realDonaldTrump #maga #trump2020'",1,
"b'Whilst the Democrats managed to restrict the crowd to a mere few hundred, there are &gt;109k watching. Well https://t.co/2wEUzlcPuZ'",0,crime
"b'RT @Tayzlor: Hear him Watch LIVE: #President #Trump Holds #MAGA ""Peaceful Protest"" in #Rochester #Minneapolis...",1,
b'These nasty women voted blue!!!! three generations voting together. @juliandramari @cirisalxndra https://t.co/aa4l5kqZYI',0,crime
b'It sounds like #Democrats are already doing a post-mortem on the #Sunshine State. One thing I can guarantee you https://t.co/A7q0b4Mcn6',1,
b'@politico Of course it will. But be a loser. Also take your fear mongering and get lost. We have an https://t.co/Ny51vxVKNx',0,others
"not asking for perfection in a President. Compassion and common sense, yes. And also someone who is not an https://t.co/8JYBzC8gjn'",1,
b'Biden Voters in the Neighborhood! https://t.co/pV3uqbqS3K via @YouTube *WATCH* #BidenHarris2020 #Biden https://t.co/OJfi0Douoh',1,
b'I voted Did you go vote today? #BidenHarris2020 https://t.co/C6GA4b1lHw',1,
"b""I'm still trying to figure out why people are voting for Biden? Did that many people have a lobotomy https://t.co/ar2NDWv7Ku""",1,
b'I voted today!! It was oddly thrilling. \n\n#IVoted #IVotedEarly #BidenHarris2020',1,
"b'@roncarlson1 @GOPChairwoman @cspan @PressSec a link.\n\nI Watch LIVE: President Trump Holds MAGA ""Peaceful https://t.co/QoyErzHmlj'",1,
"b'Snow on the ground, doors off the Jeep, and block walking for @realDonaldTrump... the things I do for MY https://t.co/1pGmD3zRh9'",0,discrimination
we so very tired America (and our allies) ?? #VoteBlue https://t.co/I6S6sgO340',0,crime
b'RT @BangkokPostNews: Hong Kong relaxes distancing measures #BangkokPost #World #Coronavirus https://t.co/FVfk2hk7Wb',1,
"b'RT @NotonW: Bloomberg makes multimillion-dollar, last-minute push for Biden.\nA lot of people hated on Bloomberg when he ran in the",0,covid19
"b'RT @jstkaylieee: #VOTE #VoteHimOut #BidenHarris2020 DONT TRUST THE POLLS, STILL VOTE!!! https://t.co/lM5LP8BqKB'",0,crime
"b""RT @AriTeman: SDNY wants disciplinary hearings on their SYSTEMATIC CHEATING under seal. \n\nNejad's attorneys (@SteptoeLLP ) &amp; press (@AP )",0,discrimination
b'RT @LouDobbs: Corrupt Judiciary: @SidneyPowell1 calls the ongoing case against Gen. Michael Flynn the most political persecution of our,1,
b'RT @MAJTOURE: My Democrat friends.\n\nI love you as Americans and humans.... chose #JoeBiden for your candidate over,1,
"b'@JoeBiden you seriously just said ""The west is on fire!! We are losing the forests of both Conn. and Rhode Island https://t.co/AMfHMZTaan'",0,crime
b'RT @backup_rcp_1964: Re-elect Rachel Zenzinger so she can keep fighting for issues that matter to the folks of CO district 20: budget,0,covid19
b'Voted #BidenHarris2020 https://t.co/EA86TLPNlv',1,
b'MEDIA is LIABLE for dividing the country w/HATE SPEECH &amp; cover ups!\n#KAG #TRUMP2020ToSaveTheWorld https://t.co/QWPVAj1KSW',1,
b'The guy with the horn at Joe Biden rally signals beginning of the end for Good old Joe!#JOEBIDEN #realDonaldTrump',1,
"b'New cases, hospitalizations, deaths. All because of @realDonaldTrump and the traitorous @GOP. We will remember. https://t.co/WhfcwVwOW4'",1,
"b'Took a trip back to my little hometown to visit my mom and much to my horror, the Orange Menace is doing a https://t.co/mGIIgqGqAT'",0,covid19
b'RT @ChrisDivito2012: @kayleighmcenany He is probably so upset about how @POTUS has mismanaged the #trumpvirus. #TrumpLiesPeopleDie,0,corruption
b'RT @LotusPhoenix320: @realDonaldTrump #MAGA when @JoeBiden and @SenKamalaHarris will be taking over in the WH. #BidenHarrisToSaveAmerica,1,
b'RT @houtski: @realDonaldTrump We are. vote accordingly. #BidenHarris2020 https://t.co/GBgOZDIO5Z',1,
b'RT @JRDuquette: Only true death cultists get hypothermia after being slur-shouted at for hours during a declining klan rally.,0,discrimination
b'We have a #COVID curfew at 18:00 so we are making the most of our lunch. So it to be? #Pasta or https://t.co/C9qTRDcCyD',1,
"b""RT @Serpentine202: Mark Meadows apparently used taxpayer funds to help wife's friend raise campaign cash \n\nhttps://t.co/qnlGc6QbUJ\n\n#p2",1,
"b""RT @Kurious110: What the hell! That's why we have to get these voter suppressing #GOP politicians out of office. #VoterSuppressionIsReal""",0,others
b'@TeamCornyn @JohnCornyn Yes vote! but #votebluetosaveAmerica #bidenharris2020 #mjhegarforTexas https://t.co/0fMviigPiB',1,
"b'@TeamTrump Wisconsin #TrumpVirus (numbers climbing)\nCoronavirus Cases: 220,092\nDeaths: 1,972\n#TrumpKnew https://t.co/STZTbUhjV2'",1,
"b'@justCDNTherisa This pisses me off to no end. Not only is he negating the impact of COVID, but to throw cancer https://t.co/DhXiGHmO40'",0,corruption
"President #DonaldTrump and challenger #JoeBiden waged pitched battles for the American Midwest, chasing every https://t.co/h7pz11gPcr'",0,others
b'RT @RandyRRQuaid: Is God angry with America? the only reason he would ever give Sleazy Joe and Malicious Kamala the win. I know,0,crime
b'Truly sick to continue spreading this baseless conspiracy.\n\n#AZpol #utpol #idpol #Georgia2020 #Florida2020 https://t.co/WIqb5sNi2u',0,covid19
"b'RT @DiamondandSilk: LIVE: President @realDonaldTrump holds a #MAGA Peaceful Protest in Rochester, MN via @RSBNetwork https://t.co/HrjXjBi4MQ'",1,
"b""What I'm looking forward to most of all is, a day[s] without Trump, nothing, nada, nil! The silence will be heaven!\n#VoteThemAllOut\n#Resist""",1,
b'RT @NewLeibniz: #Fridayvibes #COVID #math #physics #astronomy Cosmology must be a much more controversial field than I thought it was.,0,others
b'Right saying it out loud I like Xmas a social distanced Christmas suits me fine .. appreciate not https://t.co/rIqjEsDi9M',1,
b'People leaving #Paris #France &amp; #NYC #NewYork #NewYorkCity by the masses -- escaping #socialism #covid and bad https://t.co/JwTCSbWuIQ',0,corruption
b'RT @PoliticsPollss: Which political party do you think is the most racist? #Racism #SayNoToRacism #Religion #Politics #Labour,0,discrimination
b'Thank you @SamWiseLGBT for your support! #democracy #support #BlueWave #BidenHarris2020 https://t.co/SUt0xcNQPe',1,
b'@tonyposnanski @BrettFavre @realDonaldTrump And while his wife was fighting breast cancer!! Farve is pig!! #vote #BidenHarris2020',0,corruption
b'@MirrorPolitics @DailyMirror Remember this is all based on a flawed testing method that produces false positive https://t.co/MyoD38v7Sy',1,
"b'@realDonaldTrump Voting ends November 3rd. Then we count ALL VOTES.\n\nYou sound really desperate, Donny.\n\n#BidenHarris2020'",0,others
